Frame,Time,Left_Shoulder_X,Left_Shoulder_Y,Left_Elbow_X,Left_Elbow_Y,Left_Wrist_X,Left_Wrist_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Elbow_X,Right_Elbow_Y,Right_Wrist_X,Right_Wrist_Y,Left_Angle,Right_Angle,Left_Wrist_Y,Right_Wrist_Y,Left_State,Right_State
10,0.2,535.0029051303864,275.09553730487823,551.3199090957642,339.8041784763336,559.4997346401215,402.06187069416046,454.067999124527,275.7672429084778,446.372526884079,338.34631741046906,428.20471823215485,392.9856240749359,173.3817952726082,168.73573993076644,402.06187069416046,392.9856240749359,RESTING,RESTING
11,0.22,535.0027441978455,275.08738338947296,551.3305306434631,339.77129459381104,559.5018804073334,402.05862522125244,454.0692865848541,275.78569650650024,446.4051693677902,338.3432865142822,428.20681035518646,392.95767545700073,173.35780524203838,168.68011790176203,402.05862522125244,392.95767545700073,RESTING,RESTING
12,0.24,535.0023686885834,275.07998049259186,551.3381481170654,339.74302411079407,559.5019340515137,402.0502299070358,454.0705740451813,275.8023262023926,446.4096486568451,338.3402019739151,428.2031625509262,392.9325968027115,173.33523048980297,168.63032946908555,402.0502299070358,392.9325968027115,RESTING,RESTING
13,0.26,535.0034415721893,275.0781297683716,551.3524174690247,339.7465914487839,559.4988226890564,402.04821825027466,454.07111048698425,275.8075028657913,446.4138060808182,338.3374124765396,428.2008558511734,392.91644990444183,173.3116921711201,168.58617886717516,402.04821825027466,392.91644990444183,RESTING,RESTING
14,0.28,535.0060164928436,275.0766545534134,551.3545632362366,339.743909239769,559.4968378543854,402.03751623630524,454.0717542171478,275.82775354385376,446.41927778720856,338.33513259887695,428.17215621471405,392.90582835674286,173.2893702225761,168.5467015525374,402.03751623630524,392.90582835674286,RESTING,RESTING
15,0.3,535.0068211555481,275.0748574733734,551.3518273830414,339.7005647420883,559.4923853874207,401.97118520736694,454.07341718673706,275.83909928798676,446.42212092876434,338.3331209421158,428.1586915254593,392.89212226867676,173.27380545503888,168.51749231234413,401.97118520736694,392.89212226867676,RESTING,RESTING
16,0.32,535.0040316581726,275.0602126121521,551.3520419597626,339.61561918258667,559.4906151294708,401.9038885831833,454.07325625419617,275.85301995277405,446.42673432826996,338.33223581314087,428.123876452446,392.88812577724457,173.25906865932774,168.49262288931575,401.9038885831833,392.88812577724457,RESTING,RESTING
17,0.34,535.0054800510406,275.05924701690674,551.3541877269745,339.6130174398422,559.4896495342255,401.8888145685196,454.07084226608276,275.85653364658356,446.4433640241623,338.31791281700134,428.10308933258057,392.88772344589233,173.24792641659343,168.4615860214975,401.8888145685196,392.88772344589233,RESTING,RESTING
18,0.36,535.005909204483,275.0606954097748,551.3585329055786,339.6104693412781,559.4896495342255,401.8644332885742,454.067462682724,275.86221992969513,446.4485675096512,338.3144795894623,428.08772027492523,392.8960382938385,173.2406726842265,168.4286035350431,401.8644332885742,392.8960382938385,RESTING,RESTING
19,0.38,535.0054800510406,275.0595957040787,551.3615906238556,339.5990699529648,559.4897031784058,401.8492519855499,454.0656387805939,275.86710155010223,446.4586526155472,338.30404579639435,428.0724048614502,392.9039239883423,173.23248430392576,168.39753332550504,401.8492519855499,392.9039239883423,RESTING,RESTING
20,0.4,534.9908888339996,275.0471770763397,551.3663113117218,339.5829766988754,559.4879329204559,401.8416076898575,454.06075716018677,275.8763551712036,446.47458493709564,338.2947117090225,428.0628025531769,392.90279746055603,173.22047176436297,168.36255309219518,401.8416076898575,392.90279746055603,RESTING,RESTING
